Train_No,Route,Journey_Duration
14035,DELHI JN. to PATHANKOT JN,9 hours 35 minutes
17233,SECUNDERABAD to BALHARSHAH,9 hours 35 minutes
17402,MACHILIPATNA to TIRUPATI,9 hours 35 minutes
14503,KALKA to SHRI MATA VA,9 hours 35 minutes
12808,HAZRAT NIZAM to VISAKHAPATNA,9 hours 35 minutes
13483,MALDA TOWN to DELHI JN.,9 hours 30 minutes
22971,BANDRA TERMI to PATNA JN.,9 hours 30 minutes
13413,MALDA TOWN to DELHI JN.,9 hours 30 minutes
16793,RAMESWARAM to FAIZABAD JN.,9 hours 30 minutes
19120,SOMNATH to AHMEDABAD,9 hours 30 minutes
54757,AMBALA CANTT to SHRI GANGANA,9 hours 30 minutes
11053,LOKMANYA TIL to AZAMGARH,9 hours 30 minutes
11450,SHRI MATA VA to JABALPUR,9 hours 30 minutes
12418,NEW DELHI to ALLAHABAD JN,9 hours 30 minutes
22667,NAGERCOIL JN to COIMBATORE,9 hours 30 minutes
13415,MALDA TOWN to PATNA JN.,9 hours 30 minutes
56903,SOLAPUR to DHARWAD,9 hours 30 minutes
51183,BHUSAVAL JN. to NARKHER,9 hours 30 minutes
17301,MYSORE JN. to DHARWAD,9 hours 30 minutes
59814,AGRA  FORT to KOTA,9 hours 30 minutes
12417,ALLAHABAD JN to NEW DELHI,9 hours 30 minutes
8628,RANCHI to HOWRAH JN.,9 hours 30 minutes
18626,HATIA to PATNA JN.,9 hours 30 minutes
55008,GORAKHPUR JN to PATLIPUTRA,9 hours 27 minutes
12352,RAJENDRANAGA to HOWRAH JN.,9 hours 25 minutes
56365,GURUVAYUR to EDAMANN,9 hours 25 minutes
13484,DELHI JN. to MALDA TOWN,9 hours 25 minutes
19052,MUZAFFARPUR to VALSAD,9 hours 25 minutes
13414,DELHI JN. to MALDA TOWN,9 hours 25 minutes
11055,LOKMANYA TIL to GORAKHPUR JN,9 hours 25 minutes
19252,OKHA to SOMNATH,9 hours 25 minutes
12359,KOLKATA to PATNA JN.,9 hours 25 minutes
12210,KATHGODAM to KANPUR CENTR,9 hours 25 minutes
56042,PONDICHERRY to TIRUPATI,9 hours 25 minutes
16792,PALAKKAD JN to PUNALUR,9 hours 25 minutes
16788,ERODE JN. to TIRUNELVELI,9 hours 25 minutes
22659,KOCHUVELI to DEHRA DUN,9 hours 25 minutes
22660,DEHRA DUN to KOCHUVELI,9 hours 25 minutes
18616,HATIA to HOWRAH JN.,9 hours 25 minutes
17626,REPALLE to SECUNDERABAD,9 hours 25 minutes
12672,METTUPALAIYA to CHENNAI CENT,9 hours 20 minutes
57651,SECUNDERABAD to REPALLE,9 hours 20 minutes
14554,AMB  ANDAURA to DELHI JN.,9 hours 20 minutes
1037,LOKMANYA TIL to SAWANTWADI R,9 hours 20 minutes
82652,SHRI MATA VA to YESVANTPUR J,9 hours 20 minutes
18625,PATNA JN. to HATIA,9 hours 20 minutes
17688,DHARMABAD to MANMAD JN.,9 hours 20 minutes
12550,JAMMU TAWI to DURG,9 hours 20 minutes
12426,JAMMU TAWI to NEW DELHI,9 hours 20 minutes
22809,PARADEEP to VISAKHAPATNA,9 hours 20 minutes
22668,COIMBATORE to NAGERCOIL JN,9 hours 20 minutes
22497,SHRI GANGANA to TIRUCHIRAPPA,9 hours 20 minutes
12407,NEW JALPAIGU to AMRITSAR JN.,9 hours 20 minutes
8627,HOWRAH JN. to RANCHI,9 hours 20 minutes
54601,HISAR JN to AMRITSAR JN.,9 hours 20 minutes
8403,PURI to SANTRAGACHI,9 hours 20 minutes
51401,PUNE JN. to MANMAD JN.,9 hours 20 minutes
53352,CHUNAR JN. to BARWADIH JN,9 hours 20 minutes
11016,GORAKHPUR JN to LOKMANYA TIL,9 hours 20 minutes
57659,SOLAPUR to FALAKNUMA,9 hours 20 minutes
59604,UDAIPUR CITY to MADAR JN,9 hours 20 minutes
12318,AMRITSAR JN. to KOLKATA,9 hours 20 minutes
19119,AHMEDABAD to SOMNATH,9 hours 20 minutes
12867,HOWRAH JN. to PONDICHERRY,9 hours 20 minutes
14712,SHRI GANGANA to HARIDWAR JN,9 hours 20 minutes
12484,AMRITSAR JN. to KOCHUVELI,9 hours 20 minutes
12422,AMRITSAR JN. to NANDED,9 hours 15 minutes
12471,BANDRA TERMI to SHRI MATA VA,9 hours 15 minutes
13225,JAYNAGAR to RAJENDRANAGA,9 hours 15 minutes
71413,PUNE JN. to SOLAPUR,9 hours 15 minutes
12792,DANAPUR to SECUNDERABAD,9 hours 15 minutes
22484,GANDHIDHAM J to JODHPUR JN.,9 hours 15 minutes
12809,CST-MUMBAI to HOWRAH JN.,9 hours 15 minutes
56905,SOLAPUR to HUBLI JN.,9 hours 15 minutes
57226,VISAKHAPATNA to VIJAYWADA JN,9 hours 15 minutes
56275,TALGUPPA to MYSORE JN.,9 hours 15 minutes
57554,ADILABAD to PARLI VAIJNA,9 hours 15 minutes
55663,AGARTALA to SILCHAR,9 hours 15 minutes
18103,TATANAGAR JN to AMRITSAR JN.,9 hours 15 minutes
7517,BIDAR to PANDHARPUR,9 hours 15 minutes
7525,SILIGURI JN. to NEW BONGAIGA,9 hours 15 minutes
7645,RENIGUNTA JN to KAKINADA TOW,9 hours 15 minutes
6010,PONDICHERRY to SANTRAGACHI,9 hours 15 minutes
15030,PUNE JN. to GORAKHPUR JN,9 hours 15 minutes
57328,GUNTUR JN. to DHONE JN,9 hours 15 minutes
18615,HOWRAH JN. to HATIA,9 hours 15 minutes
22810,VISAKHAPATNA to PARADEEP,9 hours 15 minutes
51884,GWALIOR JN to BINA,9 hours 15 minutes
58538,VISAKHAPATNA to KORAPUT JN.,9 hours 15 minutes
13235,SAHIBGANJ to DANAPUR,9 hours 10 minutes
54253,PRAYAG JN. to LUCKNOW JN.,9 hours 10 minutes
57631,SOLAPUR to GUNTAKAL JN.,9 hours 10 minutes
