Train_No,Route,Journey_Duration
7006,RAXAUL JN. to HYDERABAD DE,21 hours 45 minutes
18236,BILASPUR JN. to BHOPAL,21 hours 40 minutes
3502,ANAND VIHAR to JASIDIH JN.,21 hours 40 minutes
22642,SHALIMAR to TRIVANDRUM C,21 hours 40 minutes
12514,GUWAHATI to SECUNDERABAD,21 hours 40 minutes
12437,SECUNDERABAD to HAZRAT NIZAM,21 hours 40 minutes
16127,CHENNAI EGMO to GURUVAYUR,21 hours 35 minutes
22152,KAZIPET JN. to PUNE JN.,21 hours 35 minutes
12630,HAZRAT NIZAM to YESVANTPUR J,21 hours 35 minutes
22647,KORBA to TRIVANDRUM C,21 hours 35 minutes
13050,AMRITSAR JN. to HOWRAH JN.,21 hours 35 minutes
11201,LOKMANYA TIL to AJNI,21 hours 35 minutes
15930,DIBRUGARH to TAMBARAM,21 hours 30 minutes
19577,TIRUNELVELI to JAMNAGAR,21 hours 30 minutes
19054,MUZAFFARPUR to SURAT,21 hours 30 minutes
19259,KOCHUVELI to BHAVNAGAR TE,21 hours 30 minutes
14624,DELHI-SARAI to CHHINWARA JN,21 hours 30 minutes
19261,KOCHUVELI to PORBANDAR,21 hours 30 minutes
19580,DELHI-SARAI to RAJKOT,21 hours 30 minutes
19666,UDAIPUR CITY to KHAJAURAHO,21 hours 30 minutes
11202,AJNI to LOKMANYA TIL,21 hours 30 minutes
14805,YESVANTPUR J to BARMER,21 hours 30 minutes
12285,SECUNDERABAD to HAZRAT NIZAM,21 hours 25 minutes
19332,INDORE BG to KOCHUVELI,21 hours 25 minutes
1302,MANGALORE JN to PUNE JN.,21 hours 25 minutes
12554,NEW DELHI to BARAUNI JN.,21 hours 25 minutes
59811,RATLAM JN to AGRA  FORT,21 hours 25 minutes
13151,KOLKATA to JAMMU TAWI,21 hours 25 minutes
1705,BANDRA TERMI to JABALPUR,21 hours 25 minutes
15657,SEALDAH to GUWAHATI,21 hours 25 minutes
13007,HOWRAH JN. to SHRI GANGANA,21 hours 25 minutes
22859,PURI to CHENNAI CENT,21 hours 25 minutes
22872,TIRUPATI to BHUBANESWAR,21 hours 20 minutes
14266,DEHRA DUN to VARANASI JN.,21 hours 20 minutes
19609,UDAIPUR CITY to HARIDWAR JN,21 hours 20 minutes
12211,MUZAFFARPUR to ANAND VIHAR,21 hours 20 minutes
11090,PUNE JN. to BHAGAT-KI-KO,21 hours 20 minutes
22867,DURG to HAZRAT NIZAM,21 hours 20 minutes
16860,MANGALORE CE to CHENNAI EGMO,21 hours 20 minutes
22880,TIRUPATI to BHUBANESWAR,21 hours 20 minutes
4831,JODHPUR JN. to HARIDWAR JN,21 hours 15 minutes
22648,TRIVANDRUM C to KORBA,21 hours 15 minutes
17312,VASCO-DA-GAM to CHENNAI CENT,21 hours 15 minutes
19215,MUMBAI CENTR to PORBANDAR,21 hours 15 minutes
12553,BARAUNI JN. to NEW DELHI,21 hours 15 minutes
51422,NIZAMABAD to PUNE JN.,21 hours 15 minutes
19015,MUMBAI CENTR to PORBANDAR,21 hours 15 minutes
19574,JAIPUR JN. to OKHA,21 hours 10 minutes
9622,BANDRA TERMI to AJMER JN.,21 hours 10 minutes
19665,KHAJAURAHO to UDAIPUR CITY,21 hours 10 minutes
12212,ANAND VIHAR to MUZAFFARPUR,21 hours 10 minutes
12391,RAJGIR to NEW DELHI,21 hours 10 minutes
22356,CHANDIGARH to PATLIPUTRA,21 hours 10 minutes
12825,RANCHI to NEW DELHI,21 hours 10 minutes
12907,BANDRA TERMI to HAZRAT NIZAM,21 hours 10 minutes
12781,MYSORE JN. to HAZRAT NIZAM,21 hours 0 minutes
12818,ANAND VIHAR to HATIA,21 hours 0 minutes
12392,NEW DELHI to RAJGIR,21 hours 0 minutes
12223,LOKMANYA TIL to ERNAKULAM. J,21 hours 0 minutes
15602,NEW DELHI to SILCHAR,21 hours 0 minutes
12566,NEW DELHI to DARBHANGA JN,21 hours 0 minutes
12969,COIMBATORE to JAIPUR JN.,20 hours 55 minutes
12830,BHUBANESWAR to CHENNAI CENT,20 hours 55 minutes
16335,GANDHIDHAM J to NAGERCOIL JN,20 hours 55 minutes
22641,TRIVANDRUM C to SHALIMAR,20 hours 55 minutes
1706,JABALPUR to BANDRA TERMI,20 hours 55 minutes
12565,DARBHANGA JN to NEW DELHI,20 hours 55 minutes
59812,YAMUNA BRIDG to RATLAM JN,20 hours 55 minutes
12441,BILASPUR JN. to NEW DELHI,20 hours 55 minutes
11088,PUNE JN. to VERAVAL,20 hours 55 minutes
16381,CST-MUMBAI to KANNIYAKUMAR,20 hours 50 minutes
13152,JAMMU TAWI to KOLKATA,20 hours 50 minutes
16536,SOLAPUR to MYSORE JN.,20 hours 50 minutes
19611,AJMER JN. to AMRITSAR JN.,20 hours 50 minutes
12236,NEW DELHI to DIBRUGARH,20 hours 50 minutes
22151,PUNE JN. to KAZIPET JN.,20 hours 50 minutes
16525,KANNIYAKUMAR to KRANTIVIRA S,20 hours 50 minutes
15024,YESVANTPUR J to GORAKHPUR JN,20 hours 5 minutes
18238,AMRITSAR JN. to BILASPUR JN.,20 hours 5 minutes
22879,BHUBANESWAR to TIRUPATI,20 hours 45 minutes
12367,BHAGALPUR to ANAND VIHAR,20 hours 45 minutes
12224,ERNAKULAM. J to LOKMANYA TIL,20 hours 45 minutes
13509,ASANSOL MAIN to GONDA JN.,20 hours 45 minutes
22871,BHUBANESWAR to TIRUPATI,20 hours 45 minutes
12570,ANAND VIHAR to JAYNAGAR,20 hours 40 minutes
24369,SHAKTINAGAR to BAREILLY JN.,20 hours 40 minutes
12540,LUCKNOW JN. to YESVANTPUR J,20 hours 40 minutes
16338,ERNAKULAM. J to OKHA,20 hours 40 minutes
16535,MYSORE JN. to SOLAPUR,20 hours 40 minutes
16613,RAJKOT to COIMBATORE,20 hours 35 minutes
19262,PORBANDAR to KOCHUVELI,20 hours 35 minutes
22631,CHENNAI CENT to BIKANER JN.,20 hours 35 minutes
12519,LOKMANYA TIL to KAMAKHYA JN,20 hours 35 minutes
12161,LOKMANYA TIL to AGRA CANTT,20 hours 35 minutes
19806,UDHAMPUR to KOTA,20 hours 35 minutes
15658,GUWAHATI to SEALDAH,20 hours 30 minutes
56504,VIJAYWADA JN to BANGALORE CA,20 hours 30 minutes
13049,HOWRAH JN. to AMRITSAR JN.,20 hours 30 minutes
12520,KAMAKHYA JN to LOKMANYA TIL,20 hours 30 minutes
15021,SHALIMAR to GORAKHPUR JN,20 hours 3 minutes
12395,RAJENDRANAGA to AJMER JN.,20 hours 25 minutes
15050,GORAKHPUR JN to KOLKATA,20 hours 25 minutes
17416,CHHATRAPATI to TIRUPATI,20 hours 25 minutes
22620,TIRUNELVELI to BILASPUR JN.,20 hours 20 minutes
12569,JAYNAGAR to ANAND VIHAR,20 hours 20 minutes
17322,LOKMANYA TIL to HUBLI JN.,20 hours 20 minutes
12652,HAZRAT NIZAM to MADURAI JN,20 hours 15 minutes
15022,GORAKHPUR JN to SHALIMAR,20 hours 15 minutes
12442,NEW DELHI to BILASPUR JN.,20 hours 15 minutes
13510,GONDA JN. to ASANSOL MAIN,20 hours 15 minutes
11087,VERAVAL to PUNE JN.,20 hours 15 minutes
12264,HAZRAT NIZAM to PUNE JN.,20 hours 15 minutes
15929,TAMBARAM to DIBRUGARH,20 hours 15 minutes
14369,SINGRAULI to BAREILLY JN.,20 hours 15 minutes
12350,NEW DELHI to BHAGALPUR,20 hours 15 minutes
22830,SHALIMAR to NEW BHUJ,20 hours 13 minutes
51421,PUNE JN. to NIZAMABAD,20 hours 10 minutes
22974,PURI to GANDHIDHAM J,20 hours 10 minutes
51190,CHHEOKI to ITARSI,20 hours 10 minutes
12829,CHENNAI CENT to BHUBANESWAR,20 hours 10 minutes
12976,JAIPUR JN. to MYSORE JN.,20 hours 10 minutes
12283,ERNAKULAM. J to HAZRAT NIZAM,20 hours 10 minutes
11049,AHMEDABAD to CHHATRAPATI,20 hours 0 minutes
7005,HYDERABAD DE to RAXAUL JN.,20 hours 0 minutes
24370,BAREILLY JN. to SHAKTINAGAR,20 hours 0 minutes
20813,PURI to JODHPUR JN.,20 hours 0 minutes
22973,GANDHIDHAM J to PURI,20 hours 0 minutes
22110,HAZRAT NIZAM to LOKMANYA TIL,20 hours 0 minutes
20814,JODHPUR JN. to PURI,20 hours 0 minutes
14623,CHHINWARA JN to DELHI-SARAI,20 hours 0 minutes
6579,YESVANTPUR J to VISAKHAPATNA,20 hours 0 minutes
18102,JAMMU TAWI to TATANAGAR JN,20 hours 0 minutes
33538,HASANABAD to SEALDAH,2 hours 9 minutes
37375,HOWRAH JN. to ARAMBAG,2 hours 9 minutes
33516,HASANABAD to SEALDAH,2 hours 9 minutes
36822,BARDDHAMAN J to HOWRAH JN.,2 hours 9 minutes
31531,SEALDAH to SHANTIPUR JN,2 hours 8 minutes
33522,HASANABAD to SEALDAH,2 hours 8 minutes
37376,ARAMBAG to HOWRAH JN.,2 hours 8 minutes
36817,HOWRAH JN. to BARDDHAMAN J,2 hours 8 minutes
31055,BUDGE BUDGE to NAIHATI JN.,2 hours 8 minutes
36816,BARDDHAMAN J to HOWRAH JN.,2 hours 8 minutes
36815,HOWRAH JN. to BARDDHAMAN J,2 hours 8 minutes
37368,ARAMBAG to HOWRAH JN.,2 hours 7 minutes
36837,HOWRAH JN. to BARDDHAMAN J,2 hours 7 minutes
33812,BANGAON JN. to SEALDAH,2 hours 7 minutes
53498,JAMALPUR JN. to BHAGALPUR,2 hours 7 minutes
33514,HASANABAD to SEALDAH,2 hours 7 minutes
37758,KATWA JN. to BANDEL JN.,2 hours 7 minutes
31841,SEALDAH to KRISHNA NAGA,2 hours 7 minutes
37841,HOWRAH JN. to BARDDHAMAN J,2 hours 6 minutes
33513,SEALDAH to HASANABAD,2 hours 6 minutes
30712,MAJERHAT to LAKSHMIKANTA,2 hours 6 minutes
74673,VERKA JN. to PATHANKOT JN,2 hours 58 minutes
40762,TIRUMALPUR to CHENNAI BEAC,2 hours 58 minutes
38829,HOWRAH JN. to MIDNAPORE,2 hours 57 minutes
40702,TIRUMALPUR to CHENNAI BEAC,2 hours 57 minutes
93007,CHURCHGATE to DAHANU ROAD,2 hours 56 minutes
18404,BARBIL to CHAKARADHARP,2 hours 55 minutes
14807,JAIPUR JN. to ALWAR JN.,2 hours 55 minutes
38827,HOWRAH JN. to MIDNAPORE,2 hours 55 minutes
53446,BHAGALPUR to HANSDIHA,2 hours 55 minutes
53442,BHAGALPUR to HANSDIHA,2 hours 55 minutes
52180,SIRMUTTRA to DHOLPUR (NG),2 hours 55 minutes
55728,RADHIKAPUR to KATIHAR JN.,2 hours 55 minutes
52184,SIRMUTTRA to DHOLPUR (NG),2 hours 55 minutes
12356,JAMMU TAWI to RAJENDRANAGA,2 hours 55 minutes
18504,SAI NAGAR SH to VISAKHAPATNA,2 hours 55 minutes
18201,DURG to NAUTANWA,2 hours 55 minutes
74954,JALANDHAR CI to JAIJON DOABA,2 hours 55 minutes
18205,DURG to NAUTANWA,2 hours 55 minutes
53441,HANSDIHA to BHAGALPUR,2 hours 55 minutes
68059,BARABHUM to ASANSOL MAIN,2 hours 55 minutes
74939,JALANDHAR CI to FIROZPUR CAN,2 hours 55 minutes
55037,BURHWAL JN. to SITAPUR CITY,2 hours 55 minutes
56710,MADURAI JN to PALANI,2 hours 55 minutes
74932,FIROZPUR CAN to JALANDHAR CI,2 hours 55 minutes
56388,KAYANKULAM J to ERNAKULAM. J,2 hours 55 minutes
66529,KUPPAM to KRANTIVIRA S,2 hours 55 minutes
66524,HINDUPUR to KRANTIVIRA S,2 hours 55 minutes
69101,VADODARA JN. to AHMEDABAD,2 hours 55 minutes
54420,REWARI JN. to DELHI JN.,2 hours 55 minutes
55685,MAISHASHAN to SILCHAR,2 hours 55 minutes
66519,MARIKUPPAM to KRANTIVIRA S,2 hours 55 minutes
64151,ALIGARH JN. to DELHI JN.,2 hours 55 minutes
68744,ITWARI JN. to GONDIA JN.,2 hours 55 minutes
67249,TANDUR to SECUNDERABAD,2 hours 55 minutes
54406,MEERUT CITY to KHURJA JN,2 hours 55 minutes
43943,VELACHEERY to TIRUTTANI,2 hours 55 minutes
54404,MEERUT CITY to KHURJA JN,2 hours 55 minutes
66042,TIRUMALPUR to CHENNAI BEAC,2 hours 55 minutes
74924,MANANWALA to HOSHIARPUR,2 hours 55 minutes
51608,GUNA to BINA,2 hours 55 minutes
56387,ERNAKULAM. J to KAYANKULAM J,2 hours 55 minutes
22857,SANTRAGACHI to ANAND VIHAR,2 hours 55 minutes
64959,KOSI KALAN to AGRA CANTT,2 hours 55 minutes
51261,AMRAVATI to WARDHA JN.,2 hours 55 minutes
77202,GUDIVADA JN. to NARASAPUR,2 hours 55 minutes
55421,MALDA TOWN to BALURGHAT,2 hours 55 minutes
55744,JOGBANI to KATIHAR JN.,2 hours 55 minutes
54612,PATHANKOT JN to AMRITSAR JN.,2 hours 55 minutes
54611,AMRITSAR JN. to PATHANKOT JN,2 hours 55 minutes
77208,MACHILIPATNA to VIJAYWADA JN,2 hours 55 minutes
74619,BANIHAL to BARAMULLA,2 hours 55 minutes
22686,CHANDIGARH to YESVANTPUR J,2 hours 55 minutes
79434,PATAN to AHMEDABAD,2 hours 55 minutes
40752,TIRUMALPUR to CHENNAI BEAC,2 hours 55 minutes
57404,KATPADI JN to TIRUPATI,2 hours 55 minutes
14523,BARAUNI JN. to AMBALA CANTT,2 hours 55 minutes
76838,VIRUDUNAGAR to KARAIKKUDI,2 hours 55 minutes
79456,CHHOTA UDEPU to VADODARA JN.,2 hours 55 minutes
5306,FARRUKHABAD to KANPUR ANWAR,2 hours 55 minutes
51609,BINA to GUNA,2 hours 55 minutes
51607,BINA to GUNA,2 hours 55 minutes
64523,AMBALA CANTT to LUDHIANA JN.,2 hours 55 minutes
31922,GEDE to SEALDAH,2 hours 55 minutes
56383,ERNAKULAM. J to KAYANKULAM J,2 hours 55 minutes
12643,TRIVANDRUM C to HAZRAT NIZAM,2 hours 55 minutes
19269,PORBANDAR to MUZAFFARPUR,2 hours 55 minutes
69192,GANDHINAGAR to ANAND JN.,2 hours 55 minutes
63279,BARAUNI JN. to SONPUR JN.,2 hours 55 minutes
64466,PANIPAT JN. to NEW DELHI,2 hours 55 minutes
38801,HOWRAH JN. to MIDNAPORE,2 hours 55 minutes
11094,VARANASI JN. to CST-MUMBAI,2 hours 55 minutes
55735,KATIHAR JN. to JOGBANI,2 hours 55 minutes
58427,PALASA to GUNUPUR,2 hours 55 minutes
31917,SEALDAH to GEDE,2 hours 55 minutes
74901,JALANDHAR CI to PATHANKOT JN,2 hours 55 minutes
59357,BAYANA to YAMUNA BRIDG,2 hours 55 minutes
54047,KURUKSHETRA to JIND JN,2 hours 55 minutes
54760,SURATGARH JN to SHRI GANGANA,2 hours 55 minutes
59122,CHHOTA UDEPU to VADODARA JN.,2 hours 55 minutes
56375,GURUVAYUR to ERNAKULAM. J,2 hours 55 minutes
57518,TANDUR to HYDERABAD DE,2 hours 55 minutes
68740,BILASPUR JN. to PENDRA ROAD,2 hours 55 minutes
75745,KATIHAR JN. to JOGBANI,2 hours 55 minutes
8035,KHARAGPUR to BALASORE,2 hours 55 minutes
58013,ADRA to BOKARO STEEL,2 hours 55 minutes
51755,CHIRMIRI to ANUPPUR JN.,2 hours 55 minutes
68737,RAIGARH to BILASPUR JN.,2 hours 55 minutes
20810,NANDED to SAMBALPUR JN,2 hours 55 minutes
74676,PATHANKOT JN to AMRITSAR JN.,2 hours 55 minutes
38711,HOWRAH JN. to KHARAGPUR,2 hours 53 minutes
68690,DIGHA FS to MECHEDA,2 hours 53 minutes
40708,TIRUMALPUR to CHENNAI BEAC,2 hours 52 minutes
93015,CHURCHGATE to DAHANU ROAD,2 hours 52 minutes
38719,HOWRAH JN. to KHARAGPUR,2 hours 52 minutes
78059,GRAM MASAGRA to BANKURA,2 hours 51 minutes
78055,GRAM MASAGRA to BANKURA,2 hours 51 minutes
78051,GRAM MASAGRA to BANKURA,2 hours 51 minutes
79455,VADODARA JN. to CHHOTA UDEPU,2 hours 50 minutes
58210,BILASPUR JN. to GEVRA-ROAD,2 hours 50 minutes
68743,GONDIA JN. to ITWARI JN.,2 hours 50 minutes
69115,VADODARA JN. to AHMEDABAD,2 hours 50 minutes
38707,HOWRAH JN. to KHARAGPUR,2 hours 50 minutes
79438,ABU ROAD to MAHESANA JN,2 hours 50 minutes
38806,MIDNAPORE to HOWRAH JN.,2 hours 50 minutes
53042,JAYNAGAR to HOWRAH JN.,2 hours 50 minutes
56218,SHIMOGA TOWN to TALGUPPA,2 hours 50 minutes
68741,DURG to GONDIA JN.,2 hours 50 minutes
55009,CHHAPRA JN. to BHATNI JN.,2 hours 50 minutes
68001,SANTRAGACHI to JHARGRAM,2 hours 50 minutes
70101,PERNEM to KAWR,2 hours 50 minutes
77415,KURNOOL TOWN to GUNTAKAL JN.,2 hours 50 minutes
63248,GAYA JN. to PATNA JN.,2 hours 50 minutes
51423,IGATPURI to MANMAD JN.,2 hours 50 minutes
59119,VADODARA JN. to CHHOTA UDEPU,2 hours 50 minutes
22464,BIKANER JN. to MERTA ROAD J,2 hours 50 minutes
58022,TATANAGAR JN to KHARAGPUR,2 hours 50 minutes
69188,RATLAM JN to DAHOD,2 hours 50 minutes
79436,PATAN to AHMEDABAD,2 hours 50 minutes
59118,CHHOTA UDEPU to VADODARA JN.,2 hours 50 minutes
64481,PANIPAT JN. to AMBALA CANTT,2 hours 50 minutes
11032,BIJAPUR JN to SOLAPUR,2 hours 50 minutes
55661,MAISHASHAN to SILCHAR,2 hours 50 minutes
19401,AHMEDABAD to LUCKNOW JN.,2 hours 50 minutes
43934,ARAKKONAM JN to VELACHEERY,2 hours 50 minutes
59121,VADODARA JN. to CHHOTA UDEPU,2 hours 50 minutes
54309,DELHI JN. to REWARI JN.,2 hours 50 minutes
54310,REWARI JN. to DELHI JN.,2 hours 50 minutes
43932,ARAKKONAM JN to VELACHEERY,2 hours 50 minutes
64543,PANIPAT JN. to AMBALA CANTT,2 hours 50 minutes
54322,SITAPUR CANT to BALAMAU JN.,2 hours 50 minutes
57606,VIKRABAD JN. to KACHEGUDA,2 hours 50 minutes
51678,SHAKTINAGAR to CHOPAN,2 hours 50 minutes
16216,KRANTIVIRA S to MYSORE JN.,2 hours 50 minutes
54327,SITAPUR CITY to SHAHJAHANPUR,2 hours 50 minutes
64906,GHAZIABAD JN to PALWAL,2 hours 50 minutes
22308,BIKANER JN. to MERTA ROAD J,2 hours 50 minutes
64958,PALWAL to AGRA CANTT,2 hours 50 minutes
16086,JOLARPETTAI to ARAKKONAM JN,2 hours 50 minutes
74903,JALANDHAR CI to PATHANKOT JN,2 hours 50 minutes
54052,FIROZPUR CAN to LUDHIANA JN.,2 hours 50 minutes
77414,GUNTAKAL JN. to KURNOOL TOWN,2 hours 50 minutes
57558,NANDED to NIZAMABAD,2 hours 50 minutes
74625,BANIHAL to BARAMULLA,2 hours 50 minutes
56272,CHIKMAGALURU to SHIMOGA TOWN,2 hours 50 minutes
58112,ITWARI JN. to TATANAGAR JN,2 hours 50 minutes
52233,PILIBHIT JN. to SHAHJAHANPUR,2 hours 50 minutes
18189,TATANAGAR JN to ROURKELA,2 hours 50 minutes
74630,BARAMULLA to BANIHAL,2 hours 50 minutes
59605,CHITTAURGARH to UDAIPUR CITY,2 hours 50 minutes
57486,MIRZAPALI to KACHEGUDA,2 hours 50 minutes
57403,TIRUPATI to KATPADI JN,2 hours 50 minutes
52232,SHAHJAHANPUR to PILIBHIT JN.,2 hours 50 minutes
52229,SHAHJAHANPUR to PILIBHIT JN.,2 hours 50 minutes
56741,TUTICORIN to TIRUNELVELI,2 hours 50 minutes
78054,BANKURA to GRAM MASAGRA,2 hours 50 minutes
40754,TIRUMALPUR to CHENNAI BEAC,2 hours 50 minutes
58415,CUTTACK JN. to PURI,2 hours 50 minutes
55733,KATIHAR JN. to JOGBANI,2 hours 50 minutes
54645,LUDHIANA JN. to FIROZPUR CAN,2 hours 50 minutes
56604,SHORANUR JN. to COIMBATORE,2 hours 50 minutes
55332,KASGANJ JN. to FARRUKHABAD,2 hours 50 minutes
40758,TIRUMALPUR to CHENNAI BEAC,2 hours 50 minutes
15275,SAHARSA JN. to BARAUNI JN.,2 hours 50 minutes
5522,SAHARSA JN. to JAMALPUR JN.,2 hours 50 minutes
43851,PONNERI to TIRUVALLUR,2 hours 5 minutes
64015,PALWAL to SHAKUR BASTI,2 hours 5 minutes
17305,HUBLI JN. to LONDA JN.,2 hours 5 minutes
76834,KARUR JN. to TIRUCHIRAPPA,2 hours 5 minutes
63223,PATNA JN. to ARA,2 hours 5 minutes
76508,BANGARPET JN to KRANTIVIRA S,2 hours 5 minutes
59709,ANUPGARH to SURATGARH JN,2 hours 5 minutes
76831,TIRUCHIRAPPA to KARAIKKUDI,2 hours 5 minutes
17242,NIDADAVOLU J to NARASAPUR,2 hours 5 minutes
64013,PALWAL to SHAKUR BASTI,2 hours 5 minutes
43433,MOOR MARKET to ARAKKONAM JN,2 hours 5 minutes
64012,SHAKUR BASTI to PALWAL,2 hours 5 minutes
33531,SEALDAH to HASANABAD,2 hours 5 minutes
51907,SHAMLI to SAHARANPUR J,2 hours 5 minutes
33524,HASANABAD to SEALDAH,2 hours 5 minutes
52592,DARJEELING to DARJEELING,2 hours 5 minutes
51916,FARUKHNAGAR to DELHI JN.,2 hours 5 minutes
33528,HASANABAD to SEALDAH,2 hours 5 minutes
33529,SEALDAH to HASANABAD,2 hours 5 minutes
56307,QUILON to TRIVANDRUM C,2 hours 5 minutes
64011,PALWAL to SHAKUR BASTI,2 hours 5 minutes
43413,MOOR MARKET to ARAKKONAM JN,2 hours 5 minutes
33534,HASANABAD to SEALDAH,2 hours 5 minutes
78101,CHAKARADHARP to ROURKELA,2 hours 5 minutes
43439,MOOR MARKET to ARAKKONAM JN,2 hours 5 minutes
43415,MOOR MARKET to ARAKKONAM JN,2 hours 5 minutes
43429,MOOR MARKET to ARAKKONAM JN,2 hours 5 minutes
33523,SEALDAH to HASANABAD,2 hours 5 minutes
63543,ASANSOL MAIN to NSC BOSE J G,2 hours 5 minutes
56225,KRANTIVIRA S to TUMKUR,2 hours 5 minutes
69152,SURAT to VALSAD,2 hours 5 minutes
75721,SILIGURI JN. to HALDIBARI,2 hours 5 minutes
63291,GAYA JN. to DEHRI-ON-SON,2 hours 5 minutes
53009,KATWA JN. to AZIMGANJ JN.,2 hours 5 minutes
59379,INDORE BG to MAKSI JN,2 hours 5 minutes
63561,ASANSOL MAIN to JASIDIH JN.,2 hours 5 minutes
63289,GAYA JN. to DEHRI-ON-SON,2 hours 5 minutes
43762,TIRUVALLUR to VELACHEERY,2 hours 5 minutes
78817,DURG to DALLI-RAJHAR,2 hours 5 minutes
51763,SATNA to MANIKPUR JN.,2 hours 5 minutes
43792,PATTABIRAM E to VELACHEERY,2 hours 5 minutes
43795,VELACHEERY to PATTABIRAM E,2 hours 5 minutes
43802,ARAKKONAM JN to CHENNAI BEAC,2 hours 5 minutes
43806,ARAKKONAM JN to CHENNAI BEAC,2 hours 5 minutes
63290,DEHRI-ON-SON to GAYA JN.,2 hours 5 minutes
77229,REPALLE to GUNTUR JN.,2 hours 5 minutes
75202,CHHAPRA JN. to SONPUR JN.,2 hours 5 minutes
36833,HOWRAH JN. to BARDDHAMAN J,2 hours 5 minutes
58303,LANJI GARH R to JUNAGARH ROA,2 hours 5 minutes
36828,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36823,HOWRAH JN. to BARDDHAMAN J,2 hours 5 minutes
36820,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36818,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36813,HOWRAH JN. to BARDDHAMAN J,2 hours 5 minutes
36811,HOWRAH JN. to BARDDHAMAN J,2 hours 5 minutes
53363,GAYA JN. to DEHRI-ON-SON,2 hours 5 minutes
53327,SINDRI TOWN to NSC BOSE J G,2 hours 5 minutes
74685,KHEM KARAN to BHAGTANWALA,2 hours 5 minutes
64590,PHAPHUND to KANPUR CENTR,2 hours 5 minutes
64593,FATEHPUR to KANPUR CENTR,2 hours 5 minutes
74684,AMRITSAR JN. to KHEM KARAN,2 hours 5 minutes
64911,NEW DELHI to ROHTAK JN.,2 hours 5 minutes
64912,ROHTAK JN. to NEW DELHI,2 hours 5 minutes
12507,TRIVANDRUM C to SILCHAR,2 hours 5 minutes
66008,ARAKKONAM JN to MOOR MARKET,2 hours 5 minutes
36831,HOWRAH JN. to BARDDHAMAN J,2 hours 5 minutes
19270,MUZAFFARPUR to PORBANDAR,2 hours 5 minutes
31051,BUDGE BUDGE to NAIHATI JN.,2 hours 5 minutes
36834,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
42408,SULLURUPETTA to MOOR MARKET,2 hours 5 minutes
42401,MOOR MARKET to SULLURUPETTA,2 hours 5 minutes
56742,TIRUNELVELI to TUTICORIN,2 hours 5 minutes
56796,SENGOTTAI JN to TIRUNELVELI,2 hours 5 minutes
59227,BOTAD to BHAVNAGAR TE,2 hours 5 minutes
59228,BHAVNAGAR TE to BOTAD,2 hours 5 minutes
42420,SULLURUPETTA to MOOR MARKET,2 hours 5 minutes
59307,INDORE BG to UJJAIN JN,2 hours 5 minutes
74858,CHURU to SIKAR JN.,2 hours 5 minutes
68729,RAIPUR JN. to DONGAR GARH,2 hours 5 minutes
36856,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
74857,SIKAR JN. to CHURU,2 hours 5 minutes
36854,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36848,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36846,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36844,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
36836,BARDDHAMAN J to HOWRAH JN.,2 hours 5 minutes
66009,MOOR MARKET to ARAKKONAM JN,2 hours 5 minutes
74971,FIROZPUR CAN to FAZILKA JN.,2 hours 5 minutes
25014,RAMNAGAR to MORADABAD JN,2 hours 5 minutes
37374,ARAMBAG to HOWRAH JN.,2 hours 5 minutes
74634,BUDGAM to BANIHAL,2 hours 5 minutes
74636,BUDGAM to BANIHAL,2 hours 5 minutes
74639,BANIHAL to BUDGAM,2 hours 5 minutes
75222,CHHAPRA JN. to SONPUR JN.,2 hours 5 minutes
74633,BANIHAL to BUDGAM,2 hours 5 minutes
74640,BUDGAM to BANIHAL,2 hours 5 minutes
37652,MEMARI to HOWRAH JN.,2 hours 5 minutes
54561,BATHINDA JN to FIROZPUR CAN,2 hours 5 minutes
57512,PARBHANI JN. to NANDED,2 hours 5 minutes
37750,KATWA JN. to BANDEL JN.,2 hours 5 minutes
69105,ANAND JN. to AHMEDABAD,2 hours 5 minutes
37367,HOWRAH JN. to ARAMBAG,2 hours 5 minutes
37363,HOWRAH JN. to ARAMBAG,2 hours 5 minutes
5613,JHALAWAR CIT to KOTA,2 hours 5 minutes
64074,NEW DELHI to KOSI KALAN,2 hours 5 minutes
31151,SEALDAH to BARDDHAMAN J,2 hours 48 minutes
31913,SEALDAH to GEDE,2 hours 48 minutes
93028,DAHANU ROAD to CHURCHGATE,2 hours 46 minutes
78053,GRAM MASAGRA to BANKURA,2 hours 46 minutes
55741,KATIHAR JN. to JOGBANI,2 hours 45 minutes
11101,PUNE JN. to GWALIOR JN,2 hours 45 minutes
51972,ALWAR JN. to MATHURA JN.,2 hours 45 minutes
55578,BIRAUL to DARBHANGA JN,2 hours 45 minutes
422,SHRI MATA VA to LUCKNOW JN.,2 hours 45 minutes
11204,JAIPUR JN. to NAGPUR JN.(C,2 hours 45 minutes
