Train_No,Total_Distance,Number_of_Stops
15631,2462,34
15632,2461,34
15635,3219,44
15636,3219,44
15639,1512,26
15640,1513,26
15643,1534,27
15644,1548,26
15645,2598,47
15646,2597,48
15647,2740,54
15648,2739,55
15651,2344,43
15652,2348,43
15653,2431,43
15654,2433,43
15655,2606,40
15656,2607,40
15657,977,33
15658,977,33
15659,1555,40
15660,1554,40
15661,1228,29
15662,1232,29
15665,250,9
15666,249,9
15667,3142,36
15668,3142,36
15669,250,7
15670,249,7
15707,1787,51
15708,1790,53
15711,398,11
15712,419,11
15713,289,19
15714,289,19
15715,1834,28
15716,1834,28
15717,405,26
15718,404,26
15719,202,18
15720,202,18
15721,752,18
15722,773,18
15723,545,13
15724,545,13
15765,262,19
15766,262,19
15767,161,14
15768,161,14
15769,450,27
15770,449,26
15771,300,20
15772,300,20
15815,182,12
15816,182,12
15903,2636,35
15904,2640,35
15905,4260,57
15906,4256,58
15909,3114,89
15927,595,27
15928,595,27
15929,3353,51
15930,3353,51
15933,2870,38
15934,2872,38
15941,1712,32
15942,1712,32
15959,1507,56
15960,1528,56
15967,604,31
15968,603,31
16003,1365,26
16004,1363,27
16021,498,24
16022,499,23
16023,143,10
16024,143,10
16031,2859,81
16032,2857,82
16053,148,8
16054,146,9
16057,148,8
16058,146,9
16085,144,15
16086,144,14
16089,212,16
16090,213,16
16093,2086,47
16094,2083,46
16101,664,24
16102,664,25
16105,775,29
16106,774,29
16115,196,10
16116,196,10
16127,1095,48
16128,1096,48
16129,31,4
16130,31,3
16175,360,16
16176,360,16
16179,394,13
16180,394,13
16181,682,26
16182,682,27
16183,351,18
16184,350,18
16185,10,2
16186,10,2
16187,591,29
16188,592,27
16203,148,10
16204,146,11
16205,372,13
16206,372,13
16209,2278,45
16210,2279,44
16215,138,10
16216,138,10
16217,1304,24
16218,1304,24
16227,508,35
16228,508,31
16229,2698,35
16231,676,24
16232,676,25
16233,120,7
16234,120,7
16235,775,35
16301,327,30
16302,327,30
16303,220,19
16304,219,19
16305,282,16
16306,282,17
16307,338,27
16308,339,28
16311,2701,44
16312,2704,44
16313,338,27
16314,339,26
16315,829,22
16316,830,22
16317,3769,71
16318,3765,75
16331,1953,43
16332,1954,42
16333,2407,59
16334,2411,59
16335,2348,56
16336,2352,56
16337,2253,50
16338,2258,51
16339,1874,40
16340,1875,39
16341,302,23
16342,302,22
16343,609,22
16344,610,22
16345,1510,46
16346,1514,46
16347,630,50
16348,632,49
16349,67,9
16350,66,9
16351,1942,47
16352,1945,46
16353,1490,31
16354,1492,31
16359,2987,44
16360,2980,44
16381,2130,63
16382,2132,62
16501,1797,25
16502,1785,27
16505,1949,34
16506,1952,33
16507,2103,46
16508,2104,45
16515,667,22
16516,649,22
16517,579,20
16518,578,20
16519,148,16
16520,148,15
16521,70,8
16522,70,8
16523,262,14
16524,260,14
16525,934,46
16526,934,49
16527,655,18
16528,654,18
16531,2213,38
16532,2201,38
16533,2173,30
16534,2161,30
16535,966,32
16536,964,32
16557,138,9
16558,138,9
16565,833,20
16566,833,20
16569,611,15
16570,599,15
16571,687,18
16572,687,18
16573,453,10
16574,452,10
16575,409,14
16576,394,14
16577,333,12
16578,332,12
16579,268,9
16580,267,9
16581,268,10
16582,267,10
16587,2440,35
16588,2440,34
16589,797,30
16590,794,30
16591,668,30
16592,668,30
16593,1021,43
16594,1021,43
16603,620,32
16604,619,31
16605,691,41
16606,689,41
16613,2220,35
16614,2222,36
16615,334,10
16616,334,9
16617,498,17
16618,498,15
16629,631,54
16630,632,54
16649,703,52
16650,702,50
16687,3663,63
16688,3661,67
16723,858,31
16724,858,32
16733,3177,42
16734,3175,42
16779,816,23
16780,817,23
16787,454,11
16788,454,11
16790,454,11
16791,347,29
16792,348,29
16793,2916,20
16794,2912,20
16853,400,19
16854,400,19
16855,796,23
16856,795,23
16857,861,19
16858,861,19
16859,983,52
16860,982,53
16861,699,23
16862,698,23
16863,2853,43
16864,2855,42
17001,771,25
17002,771,25
17009,163,9
17010,162,9
17011,316,21
17012,305,20
17013,639,15
17014,640,15
17015,1135,41
17016,1135,41
17017,1467,27
17018,1468,28
17019,2002,34
17020,2004,34
17021,376,9
17022,373,9
17023,243,16
17024,243,14
17025,341,15
17026,341,15
17027,243,13
17028,243,13
17031,791,26
17032,793,26
17037,2120,28
17038,2121,28
17057,875,30
17058,875,29
17063,615,23
17064,615,23
17201,391,24
17202,390,25
17203,2051,31
17204,2053,32
17205,1346,39
17206,1347,39
17207,1129,32
17208,1130,32
17209,962,35
17210,962,36
17211,768,21
17212,768,21
17213,1092,23
17214,1092,23
17215,619,16
17216,619,16
17221,1306,23
17222,1306,23
17225,693,26
17226,691,26
17229,1562,43
17230,1563,43
17231,1048,27
17232,1048,28
17233,375,34
17234,374,34
17235,669,16
17236,668,16
17239,382,27
17240,383,26
17241,76,8
17242,77,8
17255,462,21
17256,464,21
17301,493,18
17302,490,17
17305,90,4
17307,993,34
17308,994,32
17309,665,18
17310,662,18
17311,1029,24
17312,1027,25
17315,1269,24
17316,1273,27
17317,732,16
17318,731,16
17319,660,22
17320,661,22
17321,796,12
17322,797,13
17323,2037,24
17324,2037,24
17325,607,25
17326,609,25
17401,466,21
17402,466,21
17403,94,8
17404,94,9
17405,1154,61
17406,1153,62
17407,462,19
17408,463,19
17409,184,9
17410,184,9
17411,517,18
17412,517,19
17413,302,11
17414,302,11
17415,904,31
17416,903,32
17417,1419,37
17418,1419,38
17419,778,31
17420,777,26
17479,1231,72
17480,1231,73
17481,1402,65
17482,1400,66
17487,735,36
17488,736,33
17603,653,18
17604,652,18
17605,1522,28
17606,1518,28
17609,1736,17
17610,1738,17
17613,667,13
17614,667,14
17615,1283,23
17616,1286,23
17617,604,20
17618,604,20
17619,236,8
17620,236,8
17621,1148,28
17622,1148,28
17623,1675,29
17624,1677,29
17625,347,21
17626,341,19
17639,513,21
17640,513,21
17641,730,32
17642,730,32
17643,759,36
17644,760,36
17651,825,21
17652,824,23
17687,416,24
17688,419,24
18005,1163,48
18006,1164,46
18007,260,13
18008,259,13
18009,2000,24
18010,2002,24
18029,1957,83
18030,1955,82
18047,2128,44
18048,2125,45
18101,2017,71
18102,2017,72
18103,1746,25
18104,1747,25
18107,644,13
18108,644,13
18111,2434,42
18112,2421,42
18117,796,26
18118,796,26
18181,629,37
18182,629,37
18183,507,36
18184,507,35
18189,159,9
18190,159,10
18191,685,33
18192,687,31
18201,1207,25
18202,1212,25
18203,879,20
18204,883,21
18205,1153,24
18206,1161,24
18207,1396,22
18208,1404,22
18211,660,15
18212,665,15
18213,1250,20
18214,1258,20
18215,1906,26
18216,1916,26
18233,1008,72
18234,1009,74
18235,720,67
18236,721,67
18237,1998,85
18238,1990,89
18239,520,31
18240,406,18
18241,463,32
18242,471,32
18243,1818,33
18244,1808,33
18245,1884,33
18246,1874,33
18247,468,39
18248,465,39
18301,321,20
18302,321,20
18303,340,16
18304,340,16
18309,378,14
18310,381,14
18311,890,37
18312,893,37
18401,2779,41
18402,2775,41
18403,126,6
18404,126,6
18405,2013,40
18406,2005,40
18407,1697,26
18408,1691,26
18409,504,20
18410,503,21
18413,172,12
18414,172,12
18415,396,30
18416,396,30
18419,998,24
18420,998,24
18421,2483,41
18422,2479,41
18425,810,28
18426,803,28
18437,146,11
18438,146,11
18447,784,41
18448,784,41
18449,926,27
18450,926,27
18451,686,24
18452,686,25
18463,1546,47
18464,1545,46
18477,2347,76
18478,2354,75
18495,1884,25
18496,1884,25
18501,2116,29
18502,2113,29
18503,1406,25
18504,1405,25
18507,2552,48
18508,2556,48
18511,357,12
18512,357,11
18517,726,31
18518,727,31
18519,1512,20
18520,1497,20
18567,1572,33
18568,1576,33
18573,2056,35
18574,2060,35
18605,637,17
18606,640,17
18609,2014,29
18610,2018,29
18611,574,30
18612,576,30
18613,480,20
18614,482,20
18615,430,17
18616,426,17
18619,400,17
18620,402,17
18621,571,42
18622,569,43
18623,417,26
18624,414,25
18625,417,21
18626,414,21
18631,1663,39
18632,1665,39
18637,1884,27
18638,1884,27
18645,1602,59
18646,1602,61
18695,64,8
18696,64,8
18697,314,27
18698,314,27
19015,958,63
19016,958,62
19019,1676,98
19020,1678,92
19021,1681,23
19022,1681,23
19023,1759,94
19024,1762,97
19025,567,21
19026,567,21
19027,1878,33
19028,1879,33
19031,1200,43
19032,1203,43
19033,297,27
19034,297,27
19035,99,10
19036,99,11
19037,1832,68
19038,1831,68
19039,2142,82
19040,2140,82
19041,1909,31
19042,1910,27
19045,1732,35
19046,1730,35
19051,1786,17
19052,1785,17
19053,2121,25
19054,2120,25
19055,750,18
19056,751,18
19057,1403,13
19058,1402,13
19061,1635,28
19062,1636,28
19063,1596,18
19064,1595,18
19107,1537,19
19108,1539,19
19115,843,29
19116,843,29
19119,435,19
19120,435,19
19151,300,17
19152,300,17
19165,1945,70
19166,1945,72
19167,1600,57
19168,1601,57
19201,1690,29
19202,1689,29
19215,958,63
19217,807,30
19218,807,33
19223,1474,58
19224,1476,60
19225,489,24
19226,489,24
19251,438,17
19252,438,17
19259,2274,41
19260,2270,41
19261,2427,30
19262,2423,30
19263,1394,28
19264,1396,32
19269,2465,35
19270,2465,35
19301,1895,32
19302,1895,32
19303,262,18
19304,262,17
19307,1100,19
19308,1102,19
19309,563,19
19310,564,19
19311,969,17
19312,970,17
19313,1347,17
19314,1347,17
19321,1394,17
19322,1395,17
19323,217,7
19324,217,7
19325,1323,24
19326,1326,24
19327,302,16
19328,302,16
19329,481,18
19330,481,18
19331,2300,32
19332,2296,32
19401,1298,27
19402,1300,27
19403,1550,20
19404,1552,20
19407,1693,21
19408,1696,21
19409,1569,29
19410,1569,29
19411,489,12
19412,491,12
19413,2617,37
19414,2618,37
19415,1716,31
19416,1718,31
19419,1721,26
19420,1719,27
19421,1666,29
19422,1669,28
19565,1662,33
19566,1664,33
19567,2730,42
19568,2730,43
19571,201,15
19572,201,15
19573,1049,20
19574,1051,20
19575,1126,20
19576,1126,20
19577,2438,29
19578,2434,29
19579,1102,24
19580,1105,24
19601,2235,29
19602,2232,29
19607,2000,30
19608,2004,30
19609,968,29
19611,1006,31
19612,1006,31
19613,847,26
19614,847,26
19659,1880,24
19660,1883,24
19665,1080,29
19666,1080,29
19707,1103,39
19708,1106,39
19709,2213,37
19710,2210,37
19711,792,34
19712,792,34
19713,1726,31
19714,1726,31
19715,675,17
19716,674,17
19717,569,17
19718,569,17
19803,1125,30
19804,1127,30
19805,1084,22
19806,1086,22
19807,238,11
19808,239,11
20501,2412,16
20502,2413,16
20601,558,6
20602,554,7
20651,273,11
20652,273,11
20809,1486,22
20810,1484,22
20811,981,13
20812,978,13
20813,2433,43
20814,2426,43
20815,862,24
20816,862,24
20817,1893,13
20818,1894,13
20889,1234,8
20890,1233,8
20901,185,4
20902,185,4
20903,1536,11
20904,1535,11
21067,95,4
21068,95,4
21107,63,2
21108,63,2
21125,643,17
21126,643,17
22101,260,7
22102,260,8
22103,1600,17
22104,1599,17
22105,191,8
22106,191,7
22109,1501,9
22110,1504,9
22111,603,20
22112,604,20
22113,1513,26
22114,1517,26
22115,545,8
22116,547,8
22117,730,10
22118,730,10
22119,561,7
22120,563,7
22121,1411,11
22122,1411,11
22123,892,10
22124,892,10
22125,1518,10
22126,1521,10
22127,1122,21
22128,1123,21
22131,1543,19
22132,1543,19
22133,644,13
22134,644,13
22135,780,16
22136,780,16
22137,961,14
22138,961,14
22140,457,8
22143,667,17
22144,667,17
22145,136,9
22146,136,9
22147,330,8
22148,330,8
22149,1371,18
22150,1366,18
22151,1191,19
22152,1193,19
22161,290,11
22162,292,11
22163,367,9
22164,367,9
22165,656,11
22166,655,11
22168,1050,11
22181,883,15
22182,886,15
22187,330,10
22188,330,10
22189,238,11
22190,238,11
22191,554,19
22192,554,19
22201,527,3
22202,526,3
22203,708,3
22204,708,3
22205,553,3
22206,555,3
22207,901,11
22208,904,11
22209,1373,5
22210,1376,5
22213,538,4
22214,539,4
22307,172,5
22308,173,5
22309,560,8
22310,560,8
22321,239,10
22322,240,10
22323,757,9
22324,758,9
22351,2706,28
22352,2712,28
22356,1142,16
22387,269,16
22388,270,16
22401,630,8
22402,630,8
22403,2364,15
22404,2363,15
22405,1193,22
22406,1193,22
22407,780,9
22408,780,9
22409,968,10
22410,968,10
22411,2127,16
22412,2130,16
22413,1908,10
22414,1907,10
22415,2083,21
22416,2083,21
22417,768,9
22418,768,9
22419,809,12
22420,809,12
22421,623,22
22422,624,22
22423,1086,16
22424,1087,16
22427,876,11
22428,876,11
22429,553,15
22430,553,17
22431,1255,18
22432,1255,18
22433,822,11
22434,824,10
22439,655,5
22441,194,9
22442,194,9
22443,1607,22
22444,1608,22
22445,897,14
22446,897,14
22447,63,2
22448,63,2
22451,1580,24
22452,1583,24
22453,458,10
22454,458,10
22455,1615,15
22456,1618,15
22457,1849,26
22458,1852,26
22461,654,8
22462,654,8
22463,172,4
22464,173,4
22471,455,14
22472,455,14
22473,1211,23
22474,1209,23
22475,2478,34
22476,2482,34
22477,312,12
22478,311,12
22481,620,19
22482,619,19
22483,558,14
22484,558,14
22487,91,7
22488,91,7
22497,3101,37
22501,3617,41
22502,3617,39
22511,3011,27
22512,3006,27
22531,879,22
22532,884,22
22601,1391,23
22602,1391,24
22603,1779,20
22604,1782,20
22605,1984,30
22606,1986,30
22607,617,14
22608,616,14
22609,404,14
22610,405,14
22611,2295,22
22612,2295,22
22613,1661,15
22614,1662,15
22615,466,8
22616,469,8
22617,336,9
22618,336,9
22619,2494,30
22620,2494,30
22621,399,12
22622,398,12
22623,556,11
22624,557,11
22625,360,11
22626,361,12
22627,457,13
22628,457,13
22629,1758,26
22630,1763,26
22631,2560,32
22632,2558,32
22633,2841,29
22634,2840,29
22635,319,10
22636,320,10
22637,896,31
22638,898,32
22639,753,25
22640,755,26
22641,2565,37
22642,2564,37
22643,2785,44
22644,2782,42
22645,2643,52
22646,2648,51
22647,2510,55
22648,2508,55
22649,390,18
22650,393,18
22651,669,19
22652,671,20
22653,2854,28
22654,2852,28
22655,2841,28
22656,2840,28
22659,3154,26
22660,3152,27
22661,592,19
22662,592,20
22663,2353,27
22664,2352,27
22667,531,14
22668,532,14
22669,31,4
22670,31,4
22677,844,13
22678,845,13
22679,226,10
22680,211,10
22681,499,12
22682,498,11
22683,2352,30
22684,2338,31
22685,2846,18
22686,2845,18
22687,126,4
22688,126,4
22691,2337,15
22692,2355,15
22697,828,18
22698,829,17
22705,2964,14
22706,2965,14
22707,760,18
22708,759,18
22801,804,16
22803,664,11
22804,663,11
22805,1871,18
22806,1869,18
22807,1657,18
22808,1656,18
22809,552,17
22810,552,17
22811,1717,14
22812,1718,14
22813,490,12
22814,489,12
22815,2144,23
22816,2145,23
22817,2106,21
22818,2107,23
22819,442,27
22821,188,11
22822,189,11
22823,1802,13
22824,1802,13
22825,1662,24
22826,1661,24
22827,1766,18
22828,1759,18
22829,2431,31
22830,2431,31
22831,1765,19
22832,1764,19
22833,1511,19
22834,1514,19
22835,502,11
22836,500,11
22837,2234,28
22838,2238,27
22839,417,12
22840,417,12
22843,966,22
22844,964,22
22845,1771,19
22846,1779,19
22847,1662,23
22848,1655,24
22849,1590,20
22850,1589,20
22851,2485,40
22852,2485,40
22853,882,16
22854,880,16
22855,1613,18
22856,1612,18
22857,1567,11
22858,1566,11
22859,1247,21
22860,1247,21
22861,288,10
22862,288,10
22863,1957,12
22864,1959,12
22865,1853,18
22866,1860,18
22867,1255,16
22868,1266,16
22869,780,13
22870,780,13
22871,1178,19
22872,1178,19
22873,930,17
22874,930,16
22875,207,14
22876,207,14
22877,2289,24
22878,2293,24
22879,1178,21
22880,1178,21
22881,1705,14
22882,1706,14
22883,1493,27
22884,1504,28
22885,1701,14
22886,1704,14
22887,1970,19
22888,1973,20
22889,550,13
22890,550,13
22891,469,14
22892,466,15
22893,1795,16
22894,1801,16
22897,185,9
22898,186,9
22901,944,16
22902,945,16
22903,838,8
22904,838,8
22905,176,5
22906,176,5
22907,1352,18
22908,1348,18
22909,2073,24
22910,2075,24
22911,1744,34
22912,1745,34
22914,1846,13
22915,1404,30
22916,1405,30
22917,1610,26
22918,1613,26
22919,1721,12
22920,1719,12
22925,69,3
22926,69,3
22927,480,22
22928,480,17
22929,234,14
22930,234,14
22931,1226,27
22932,1227,27
22933,1146,15
22934,1147,15
22935,787,12
22936,787,12
22937,1600,23
22938,1600,23
22939,1689,23
22940,1697,23
22941,1393,16
22942,1396,16
22943,963,17
22944,963,17
22945,986,30
22946,986,31
22949,1342,27
22951,853,15
22952,853,15
22953,490,27
22954,490,27
22955,838,22
22956,838,22
22957,430,16
22959,556,21
22960,556,21
22961,547,18
22962,547,18
22963,780,18
22964,780,18
22965,929,10
22966,931,10
22967,1488,20
22968,1487,20
22969,2023,23
22970,2024,23
22971,1847,14
22972,1846,14
22973,2436,38
22974,2443,38
22981,918,28
22982,919,28
22983,432,14
22989,881,16
22990,881,16
22991,910,12
22992,910,12
22993,881,15
22994,881,15
22995,185,4
22996,185,4
23141,30,3
23142,30,3
23225,109,11
23226,109,11
23345,81,6
23346,81,6
23347,204,11
23348,204,11
24041,24,3
24042,24,3
24227,349,15
24228,349,15
24369,740,38
24370,740,38
24887,157,6
24888,157,6
25013,76,3
25014,76,3
25035,76,3
25036,76,3
25201,58,6
25202,58,6
25631,173,4
25632,172,4
25657,1358,37
25658,1357,37
28181,179,14
28182,179,14
29019,276,8
29020,276,8
30111,45,23
30112,33,19
30116,25,14
30121,51,26
30122,60,29
30123,49,25
30128,66,32
30135,84,34
30142,128,42
30145,102,34
30152,53,21
30154,53,21
30211,9,8
30311,28,18
30312,33,21
30313,33,21
30314,41,23
30317,41,23
30321,85,35
30322,77,34
30324,80,36
30331,55,27
30332,55,27
30333,55,27
30342,87,28
30344,87,34
30346,87,34
30351,37,17
30353,45,19
30357,33,15
30358,33,15
30361,90,31
30411,24,11
30412,24,11
30413,24,11
30414,24,11
30416,24,11
30451,24,11
30452,31,16
30511,30,14
30552,37,17
30612,46,24
30711,67,26
30712,67,26
31051,67,26
31053,67,26
31055,67,26
31111,154,39
31112,154,37
31151,116,35
31152,116,35
31191,15,7
31192,15,7
31211,25,9
31212,25,9
31213,25,4
31214,25,5
31215,25,5
31216,25,9
31217,25,9
31218,25,7
31219,25,9
31220,25,9
31221,25,9
31222,25,9
31223,25,9
31224,25,9
31225,25,9
31226,25,9
31227,25,9
31228,25,9
31229,25,9
31230,25,9
31231,25,9
31232,25,9
31233,25,9
31234,25,9
31235,25,9
31236,25,9
31237,25,9
31238,25,9
31239,25,9
31240,25,9
31241,25,9
31261,20,9
31311,55,21
31312,55,21
31313,55,21
31314,55,21
31315,55,21
31316,55,21
31317,55,21
31318,55,21
31319,55,21
31320,55,12
31321,55,21
31322,55,21
31323,55,21
31324,55,21
31325,55,21
31326,55,21
31327,55,21
31328,55,21
31329,55,21
31330,55,21
31331,55,21
31332,55,21
31333,55,21
31334,55,21
31335,55,21
31336,55,21
31337,55,13
31338,55,21
31339,55,21
31411,40,9
31412,40,15
31413,40,15
31414,40,15
31415,40,15
31416,40,15
31417,40,15
31418,40,15
31420,40,15
31421,40,15
31422,40,15
31423,40,15
31424,40,15
31425,40,15
31426,40,15
31427,40,15
31428,40,15
31429,40,15
31430,40,15
31431,40,15
31432,40,15
31433,40,15
31434,40,15
31435,40,15
31436,40,15
31437,40,15
31438,40,15
31439,40,15
31440,40,15
31441,40,15
31442,40,15
31443,40,15
31444,40,15
31445,40,15
31446,40,15
31447,40,15
31448,40,15
31449,40,15
31450,40,15
31451,40,15
31471,35,15
31511,96,29
31512,96,28
31513,96,28
31514,96,29
31515,96,29
31516,96,29
31517,96,29
31518,96,25
31519,96,27
31520,96,28
31521,96,29
31522,96,29
31523,96,27
31524,96,28
31525,96,28
31526,96,29
31527,96,29
31528,96,27
31529,96,29
31530,96,29
31531,96,23
31532,96,29
31533,96,27
31534,96,24
31535,96,27
31536,96,26
31537,96,28
31538,96,28
31539,96,28
31540,96,27
31541,96,28
31542,96,27
31571,35,6
31584,15,2
31585,15,2
31586,15,2
31601,76,24
31602,76,24
31611,76,23
31612,76,24
31613,76,24
31614,76,24
31615,76,24
31616,76,24
31617,76,24
31618,76,11
31619,76,12
31620,76,20
31621,76,24
31622,76,24
31623,76,23
31624,76,24
31625,76,16
31626,76,10
31627,76,24
31628,76,21
31629,76,24
31630,76,23
31631,76,24
31632,76,24
31633,76,24
31634,76,24
31636,76,23
31711,35,10
31712,35,9
31713,35,6
31714,35,6
31721,26,6
31722,26,6
31723,26,6
31724,26,5
31725,26,7
31726,26,7
31741,43,13
31742,43,13
31743,43,10
31744,43,13
31745,43,13
31746,43,13
31747,43,13
31748,43,13
31749,43,13
31750,43,13
31751,43,13
31752,43,13
31753,43,13
31754,43,13
31755,43,13
31756,43,13
31757,43,13
31758,43,13
31765,154,25
31766,153,25
31767,154,29
31768,153,27
31770,153,29
31771,154,28
31772,153,29
31781,20,6
31782,19,6
31783,20,5
31784,19,5
31786,19,5
31801,102,29
31802,102,29
31811,102,29
31812,102,29
31813,102,30
31814,102,22
31815,102,29
31816,102,29
31817,102,30
31818,102,25
31819,102,21
31820,102,29
31821,102,29
31822,102,29
31823,102,28
31824,102,28
31825,102,30
31826,102,20
31827,102,30
31828,102,29
31829,102,23
31830,102,26
31831,102,16
31832,102,28
31833,102,22
31834,102,26
31835,102,29
31836,102,29
31837,102,28
31838,102,30
31839,102,19
31840,102,16
31841,102,9
31842,102,9
31843,102,10
31844,102,10
31861,128,23
31862,127,24
31863,128,21
31864,127,20
31865,128,20
31866,127,21
31911,119,36
31912,119,36
31913,119,36
31914,119,36
31915,119,36
31916,119,30
31917,119,36
31918,119,36
31919,119,36
31920,119,35
31921,119,36
31922,119,36
31923,119,36
31924,119,35
31925,119,35
31926,119,36
31927,119,36
31928,119,31
31929,119,36
32211,28,9
32212,28,9
32213,28,9
32214,28,9
32215,28,9
32216,28,9
32217,28,9
32218,28,9
32219,28,9
32220,28,9
32221,28,9
32222,28,9
32223,28,9
32224,28,9
32225,28,9
32226,28,9
32227,28,9
32228,28,9
32229,28,9
32230,28,9
32231,28,9
32232,28,9
32233,28,9
32234,28,9
32235,28,9
32236,28,9
32237,28,9
32238,28,9
32239,28,9
32240,28,9
32241,28,9
32242,28,9
32243,28,9
32244,28,9
32245,28,9
32246,28,9
32247,28,9
32248,28,9
32249,28,9
32250,28,9
32252,28,9
32411,39,13
32412,39,13
32413,39,13
32414,39,13
33061,66,26
33212,9,3
33231,15,7
33232,15,7
33262,15,9
33271,50,18
33282,67,27
33291,18,7
33311,52,19
33312,52,19
33313,52,19
33314,52,19
33315,52,19
33316,52,19
33317,52,19
33318,52,19
33319,52,19
33320,52,19
33321,52,19
33323,52,19
33325,52,19
33351,22,7
33357,7,3
33361,54,14
33362,54,12
33363,54,12
33364,54,12
33365,54,12
33366,54,12
33367,54,13
33382,35,10
33401,24,11
33402,25,11
33411,12,4
33412,12,4
33421,20,9
33422,20,9
33431,24,11
33432,25,11
33433,24,11
33434,25,11
33435,24,11
33436,25,11
33437,24,11
33438,25,11
33439,24,11
33440,25,11
33441,24,11
33443,24,11
33445,24,11
33447,24,11
33511,77,29
33512,77,29
33513,77,29
33514,77,29
33515,77,29
33516,77,25
33517,77,29
33518,77,26
33519,77,29
33520,77,29
33521,77,29
33522,77,29
33523,77,29
33524,77,24
33525,77,29
33526,77,29
33527,77,25
33528,77,24
33529,77,25
33530,77,29
33531,77,25
33532,77,29
33533,77,29
33534,77,25
33536,77,29
33538,77,24
33611,32,13
33612,32,13
33613,32,13
33614,32,13
33615,32,13
33616,32,13
33617,32,13
33618,32,13
33619,32,13
33620,32,13
33621,32,13
33622,32,11
33623,32,13
33624,32,13
33626,32,13
33628,32,13
33630,32,13
33651,47,17
33652,47,17
33653,47,17
33654,47,17
33655,47,17
33656,47,17
33657,47,17
33658,47,17
33659,47,17
33660,47,17
33664,47,17
33666,47,17
33681,59,20
33682,60,20
33685,59,20
33686,60,20
33687,59,20
33688,60,20
33711,32,8
33712,32,8
33713,32,9
33714,32,9
33715,32,8
33716,32,8
33717,32,8
33718,32,9
33719,32,8
33720,32,8
33721,32,9
33722,32,8
33723,32,8
33724,32,8
33725,32,8
33726,32,9
33727,32,8
33728,32,8
33729,32,9
33730,32,9
33731,32,8
33732,32,8
33733,32,9
33734,32,8
33735,32,9
33736,32,9
33737,32,8
33738,32,8
33739,32,9
33751,52,12
33752,52,12
33801,79,24
33802,79,24
33811,79,17
33812,79,23
33813,79,23
33814,79,21
33815,79,24
33816,79,22
33817,79,21
33818,79,24
33819,79,23
33820,79,22
33821,79,24
33822,79,24
33823,79,24
33824,79,24
33825,79,23
33826,79,24
33827,79,24
33828,79,24
33829,79,24
33830,79,24
33831,79,24
33832,79,23
33833,79,23
33834,79,24
33835,79,24
33836,79,23
33837,79,24
33838,79,24
33839,79,24
33840,79,24
33841,79,24
33842,79,24
33843,79,24
33844,79,23
33845,79,24
33846,79,24
33847,79,23
33848,79,23
33849,79,24
33850,79,24
33851,79,24
33852,79,23
33853,79,24
33854,79,22
33855,79,23
33856,79,17
33857,79,23
33858,79,23
33859,79,22
33860,79,24
33861,79,23
33863,79,24
33895,65,15
33896,65,15
34052,67,26
34054,67,26
34056,82,32
34062,120,41
34111,30,11
34112,30,11
34113,30,11
34114,30,11
34115,30,11
34116,30,11
34117,30,11
34118,30,11
34119,30,11
34120,30,11
34121,30,11
34122,30,11
34123,30,11
34124,30,11
34125,30,11
34126,30,11
34127,30,11
34128,30,11
34129,30,11
34130,30,11
34131,30,11
34132,30,11
34133,30,11
34134,30,11
34135,30,11
34136,30,11
34137,30,11
34138,30,11
34139,30,11
34140,30,11
34141,30,11
34142,30,11
34143,30,11
34144,30,11
34145,30,11
34146,30,11
34147,30,11
34148,30,11
34149,30,11
34150,30,11
34151,30,11
34152,30,11
34153,30,11
34154,30,11
34155,30,11
34156,30,11
34157,30,11
34158,30,11
34159,30,11
34160,30,11
34161,30,11
34162,30,11
34163,30,11
34164,30,11
34165,30,11
34166,30,11
34311,8,4
34312,8,4
34313,8,4
34331,36,13
34332,36,13
34334,36,13
34351,29,10
34352,28,10
34353,29,9
34354,29,9
34355,29,7
34356,29,9
34358,29,9
34360,28,10
34411,16,8
34412,16,8
34413,16,8
34414,16,8
34415,16,8
34416,16,8
34417,16,8
34418,16,8
34419,16,8
34420,16,8
34421,16,8
34422,16,8
34423,16,8
34424,16,8
34425,16,8
34426,16,8
34427,16,8
34428,16,8
34429,16,8
34430,16,8
34431,16,8
34432,16,8
34434,16,8
34436,16,9
34501,45,17
34502,45,17
34511,45,17
34512,45,16
34513,45,17
34514,45,17
34515,45,17
34516,45,16
34517,45,17
34518,45,17
34519,45,17
34520,45,17
34521,45,17
34522,45,17
34523,45,17
34524,45,17
34525,45,17
34526,45,17
34527,45,17
34528,45,17
34529,45,17
34530,45,17
34531,45,17
34532,45,17
34533,45,17
34534,45,17
34535,45,17
34536,45,17
34537,45,16
34538,45,17
34539,45,17
34540,45,17
34541,45,17
34542,45,17
34543,45,17
34544,45,16
34545,45,17
34546,45,17
34547,45,17
34548,45,17
34549,45,17
34550,45,17
34551,45,16
34552,45,17
34553,45,17
34554,45,17
34555,45,15
34557,45,17
34601,24,11
34602,24,11
34611,24,11
34612,24,11
34613,24,11
34614,24,11
34615,24,11
34616,24,11
34617,24,11
34618,24,11
34619,24,11
34620,24,11
34621,24,11
34622,24,11
34623,24,11
34624,24,11
34625,24,11
34626,24,10
34627,24,11
34628,24,11
34629,24,11
34630,24,11
34631,24,11
34632,24,11
34633,24,11
34634,24,11
34635,24,11
34636,24,11
34637,24,11
34638,24,11
34639,24,11
34640,24,11
34641,24,11
