Train_No,Total_Distance,Number_of_Stops
11902,294,13
12001,688,10
12002,690,10
12003,504,7
12004,504,7
12005,268,5
12006,268,5
12007,498,4
12008,499,4
12009,490,9
12010,490,9
12011,268,6
12012,268,6
12013,447,8
12014,447,8
12015,442,10
12016,442,10
12017,314,8
12018,314,8
12019,436,10
12020,434,10
12021,402,10
12022,401,11
12023,530,14
12024,531,14
12025,598,8
12026,598,8
12027,360,4
12028,361,4
12029,447,8
12030,447,8
12031,447,8
12032,447,8
12033,430,5
12034,430,4
12035,240,4
12036,240,4
12037,328,7
12038,328,7
12039,283,8
12040,283,8
12041,560,7
12042,560,7
12043,397,8
12044,397,8
12045,243,4
12046,243,4
12047,385,10
12048,385,10
12049,181,2
12050,183,2
12051,581,9
12052,585,9
12053,406,11
12054,406,11
12055,304,9
12056,304,10
12057,386,14
12058,386,14
12059,447,10
12060,450,10
12061,330,10
12062,330,10
12065,389,10
12066,389,10
12067,376,11
12068,375,11
12069,419,15
12070,411,15
12071,422,7
12072,422,7
12073,442,9
12074,441,9
12075,399,12
12076,398,12
12077,453,10
12078,453,10
12079,470,11
12080,468,11
12081,500,15
12082,499,15
12083,361,10
12084,361,10
12085,506,10
12086,505,10
12087,332,8
12088,332,8
12101,1956,16
12102,1963,17
12103,1478,13
12104,1478,13
12105,971,26
12106,972,27
12107,1408,11
12108,1408,11
12109,260,10
12110,260,10
12111,676,14
12112,676,14
12113,895,9
12114,895,9
12115,456,14
12116,457,15
12117,244,10
12118,244,10
12119,180,5
12120,180,5
12121,883,7
12122,886,7
12123,191,5
12124,191,4
12125,190,8
12126,190,7
12127,191,6
12128,191,5
12129,2026,30
12130,2033,30
12131,330,8
12132,330,8
12133,903,14
12134,909,14
12135,895,18
12136,895,18
12137,1910,56
12138,1913,54
12139,841,33
12140,841,33
12141,1693,14
12142,1692,13
12143,1540,14
12144,1541,14
12145,1888,27
12146,1895,27
12147,1897,22
12148,1900,22
12149,1757,19
12150,1756,19
12151,2089,24
12152,2095,23
12153,820,10
12154,820,10
12155,681,10
12156,683,10
12157,265,4
12158,265,4
12159,725,20
12160,725,20
12161,1320,21
12162,1320,21
12163,1278,24
12164,1281,22
12165,1488,16
12166,1487,16
12167,1500,13
12168,1500,13
12169,265,5
12170,265,5
12171,1756,12
12172,1759,12
12173,1581,13
12174,1581,13
12175,1291,31
12176,1292,31
